Transition_ID	Relation	Left	Right
T876	phos	50615	3718
T877	phos	5588	84433
T878	phos	56924	9733
T879	phos	7481	2535
T880	phos	5613	5132
T881	phos	5594	3265
T882	phos	8324	2776
T883	phos	7048	4089
T884	phos	7472	2535
T885	deph	10217	5925
T886	phos	2268	2023
T887	phos	9149	4188
T888	phos	8798	6426
T889	phos	5613	783
T890	phos	5594	10848
T891	phos	369	7533
T892	deph	5501	785
T893	deph	23035	5578
T894	deph	5518	5502
T895	phos	9252	4194
T896	phos	22800	5594
T897	phos	7482	7976
T898	phos	6196	51079
T899	phos	3718	5295
T900	phos	613	6464
T901	phos	1457	4618
T902	deph	80824	5602
T903	phos	157	219981
T904	phos	6792	5888
T905	phos	817	9254
T906	phos	8445	25771
T907	deph	5534	4775
T908	phos	4752	4776
T909	deph	5501	51806
T910	phos	5588	27347
T911	deph	5500	5925
T912	phos	3454	3716
T913	deph	26469	25
T914	deph	5515	59285
T915	phos	4085	51529
T916	phos	5058	2781
T917	deph	5532	54434
T918	phos	658	3300
T919	phos	5600	4747
T920	deph	5522	51135
T921	deph	5535	25847
T922	phos	2444	5511
T923	phos	5894	53632
T924	phos	2869	10663
T925	phos	5062	8874
T926	phos	5562	32
T927	phos	5592	4188
T928	phos	5608	5580
T929	phos	7477	7855
T930	deph	8556	25847
T931	phos	4916	5580
T932	phos	8428	23012
T933	phos	898	996
T934	phos	659	127933
T935	phos	5894	6300
T936	deph	5500	775
T937	phos	9263	5092
T938	phos	207	5599
T939	phos	5894	55616
T940	phos	4882	25771
T941	phos	8798	5702
T942	phos	5578	2791
T943	deph	338599	5594
T944	phos	65125	27347
T945	phos	207	7249
T946	phos	1198	7520
T947	phos	6732	5566
T948	phos	6300	4149
T949	phos	5595	9846
T950	phos	7471	7855
T951	phos	5594	7068
T952	phos	100533105	100132074
T953	deph	5516	3688
T954	deph	5500	10368
T955	deph	8835	3643
T956	phos	5588	9322
T957	phos	5563	9775
T958	phos	5747	1455
T959	phos	91	5594
T960	phos	5058	3190
T961	phos	658	9775
T962	phos	7046	4088
T963	phos	5616	4089
T964	phos	2872	55796
T965	phos	2932	468
T966	deph	1033	1017
T967	deph	5519	10369
T968	deph	8555	995
T969	phos	149420	745
T970	phos	6732	10848
T971	deph	5516	84433
T972	phos	815	786
T973	deph	55012	27091
T974	phos	1432	1649
T975	deph	5535	51434
T976	phos	5584	55616
T977	deph	5774	2690
T978	deph	5509	2998
T979	phos	1455	2737
T980	phos	127933	10848
T981	phos	5568	778
T982	phos	1452	10971
T983	phos	55681	55796
T984	phos	8428	7019
T985	deph	5516	3315
T986	phos	2771	5601
T987	phos	3716	5290
T988	phos	3055	5747
T989	phos	5578	3692
T990	phos	5599	7514
T991	phos	5588	5610
T992	phos	3480	23533
T993	phos	29110	11035
T994	deph	5501	8354
T995	phos	157	403277
T996	deph	5533	4775
T997	deph	5515	5347
T998	phos	6733	5566
T999	deph	29085	8364
T1000	phos	814	6944
T1001	phos	3566	3716
T1002	phos	2870	1232
T1003	phos	9212	8350
T1004	phos	5594	283748
T1005	phos	55681	1975
T1006	phos	8576	5906
T1007	phos	1196	10856
T1008	phos	4215	1147
T1009	phos	8798	660
T1010	phos	23012	1975
T1011	phos	369	5600
T1012	deph	5533	10059
T1013	phos	660	54952
T1014	phos	9263	6118
T1015	phos	369	5127
T1016	phos	5592	157855
T1017	phos	5590	140809
T1018	phos	5568	2893
T1019	phos	6093	103910
T1020	phos	816	2317
T1021	deph	5501	9254
T1022	phos	80326	8323
T1023	phos	27148	1407
T1024	phos	9149	55657
T1025	phos	810	5834
T1026	phos	5578	4893
T1027	phos	8899	55796
T1028	deph	5500	25937
T1029	phos	815	782
T1030	phos	3845	1432
T1031	phos	1017	29915
T1032	phos	6196	468
T1033	phos	9263	51567
T1034	phos	2268	1975
T1035	phos	10783	55802
T1036	phos	1457	8479
T1037	deph	54434	1073
T1038	phos	7525	140809
T1039	phos	5599	1974
T1040	phos	1019	56915
T1041	phos	9263	65056
T1042	phos	5566	4869
T1043	phos	157	1234
T1044	phos	815	10369
T1045	phos	1195	9760
T1046	deph	5516	5566
T1047	phos	10000	468
T1048	phos	1196	5566
T1049	phos	27148	4776
T1050	phos	5568	6262
T1051	phos	5578	71
T1052	phos	90	2268
T1053	phos	6300	9252
T1054	phos	10459	51433
T1055	deph	5522	9254
T1056	phos	51086	4193
T1057	phos	9252	7507
T1058	phos	5578	156
T1059	phos	5599	598
T1060	phos	6789	127933
T1061	phos	1457	27097
T1062	phos	5580	8660
T1063	phos	5257	5837
T1064	deph	23399	657
T1065	phos	5347	64682
T1066	phos	5568	2770
T1067	deph	55844	93589
T1068	phos	2869	10084
T1069	phos	5566	90993
T1070	deph	142679	5601
T1071	deph	5529	776
T1072	phos	699	602
T1073	phos	5578	3749
T1074	phos	3055	7454
T1075	phos	7048	56341
T1076	phos	51701	100132074
T1077	phos	10922	5307
T1078	deph	5515	11200
T1079	phos	5592	778
T1080	phos	6198	4193
T1081	phos	6199	3667
T1082	phos	1457	3178
T1083	deph	90673	805
T1084	phos	157	1230
T1085	phos	6792	10212
T1086	phos	6199	3315
T1087	phos	207	4193
T1088	phos	7481	11211
T1089	phos	157	138882
T1090	phos	11183	2017
T1091	phos	157	79310
T1092	deph	5515	1147
T1093	phos	5566	775
T1094	phos	1020	56950
T1095	deph	5501	64764
T1096	phos	11035	55616
T1097	deph	5528	5502
T1098	phos	369	6300
T1099	phos	5603	5566
T1100	deph	5516	781
T1101	phos	157	81318
T1102	phos	9475	10627
T1103	phos	29110	6118
T1104	phos	5613	492
T1105	deph	5516	1938
T1106	phos	8767	5599
T1107	phos	5608	56924
T1108	phos	5604	5602
T1109	phos	9263	5887
T1110	phos	10298	3984
T1111	phos	817	6324
T1112	phos	5566	2017
T1113	phos	51086	55036
T1114	phos	6196	55616
T1115	phos	10188	2017
T1116	phos	8550	1111
T1117	phos	7474	11211
T1118	phos	5568	995
T1119	phos	23533	10000
T1120	deph	9150	5430
T1121	phos	90	6196
T1122	phos	1432	9261
T1123	deph	5516	1385
T1124	phos	157	127064
T1125	phos	5594	140809
T1126	phos	1019	57634
T1127	phos	1326	8517
T1128	phos	2268	8853
T1129	deph	5501	5257
T1130	phos	8444	84991
T1131	phos	8445	5511
T1132	phos	6197	1612
T1133	phos	6792	9189
T1134	phos	1457	5970
T1135	phos	8899	4188
T1136	phos	8445	55796
T1137	phos	3597	7297
T1138	phos	6885	8880
T1139	phos	5603	9261
T1140	phos	5578	94235
T1141	phos	1453	5664
T1142	phos	7483	11211
T1143	phos	6197	4776
T1144	phos	7099	2770
T1145	phos	7297	1796
T1146	phos	2932	2735
T1147	phos	2868	153
T1148	phos	51384	7976
T1149	phos	207	9322
T1150	phos	3055	9846
T1151	phos	5567	3059
T1152	phos	4882	10856
T1153	phos	815	781
T1154	phos	7297	3454
T1155	phos	6794	6047
T1156	phos	5592	5500
T1157	phos	1196	54816
T1158	phos	1020	6300
T1159	deph	5523	781
T1160	deph	5534	8697
T1161	deph	5526	59283
T1162	deph	5496	8329
T1163	phos	5595	64764
T1164	deph	993	5595
T1165	phos	157	154
T1166	phos	8517	4793
